"CODMUNRES";"NOMEMUN";"nascidos_vivos";"ANO_NASC"
"420960";"Lauro Muller";197;2011
"420970";"Lebon Régis";154;2011
"420980";"Leoberto Leal";46;2011
"420985";"Lindóia do Sul";55;2011
"420990";"Lontras";152;2011
"421000";"Luiz Alves";141;2011
"421003";"Luzerna";51;2011
"421005";"Macieira";26;2011
"421010";"Mafra";857;2011
"421020";"Major Gercino";34;2011
"421030";"Major Vieira";86;2011
"421040";"Maracajá";99;2011
"421050";"Maravilha";295;2011
"421055";"Marema";19;2011
"421060";"Massaranduba";183;2011
"421070";"Matos Costa";31;2011
"421080";"Meleiro";77;2011
"421085";"Mirim Doce";24;2011
"421090";"Modelo";43;2011
"421100";"Mondaí";101;2011
"421105";"Monte Carlo";131;2011
"421110";"Monte Castelo";121;2011
"421120";"Morro da Fumaça";244;2011
"421125";"Morro Grande";34;2011
"421130";"Navegantes";1036;2011
"421140";"Nova Erechim";51;2011
"421145";"Nova Itaberaba";53;2011
"421150";"Nova Trento";131;2011
"421160";"Nova Veneza";156;2011
"421165";"Novo Horizonte";24;2011
"421170";"Orleans";248;2011
"421175";"Otacílio Costa";244;2011
"421180";"Ouro";90;2011
"421185";"Ouro Verde";28;2011
"421187";"Paial";13;2011
"421189";"Painel";21;2011
"421190";"Palhoça";2142;2011
"421200";"Palma Sola";108;2011
"421205";"Palmeira";30;2011
"421210";"Palmitos";177;2011
"421220";"Papanduva";260;2011
"421223";"Paraíso";46;2011
"421225";"Passo de Torres";78;2011
"421227";"Passos Maia";63;2011
"421230";"Paulo Lopes";88;2011
"421240";"Pedras Grandes";23;2011
"421250";"Penha";324;2011
"421260";"Peritiba";21;2011
"421265";"Pescaria Brava";NA;2011
"421270";"Petrolândia";57;2011
"421290";"Pinhalzinho";216;2011
"421300";"Pinheiro Preto";28;2011
"421310";"Piratuba";55;2011
"421315";"Planalto Alegre";27;2011
"421320";"Pomerode";336;2011
"421330";"Ponte Alta";72;2011
"421335";"Ponte Alta do Norte";55;2011
"421340";"Ponte Serrada";162;2011
"421350";"Porto Belo";234;2011
"421360";"Porto União";513;2011
"421370";"Pouso Redondo";229;2011
"421380";"Praia Grande";72;2011
"421390";"Presidente Castello Branco";23;2011
"421400";"Presidente Getúlio";180;2011
"421410";"Presidente Nereu";22;2011
"421415";"Princesa";39;2011
"421420";"Quilombo";124;2011
"421430";"Rancho Queimado";32;2011
"421440";"Rio das Antas";69;2011
"421450";"Rio do Campo";76;2011
"421460";"Rio do Oeste";85;2011
"421480";"Rio do Sul";864;2011
"421470";"Rio dos Cedros";100;2011
"421490";"Rio Fortuna";68;2011
"421500";"Rio Negrinho";566;2011
"421505";"Rio Rufino";31;2011
"421507";"Riqueza";47;2011
"421510";"Rodeio";109;2011
"421520";"Romelândia";42;2011
"421530";"Salete";104;2011
"421535";"Saltinho";50;2011
"421540";"Salto Veloso";50;2011
"421545";"Sangão";175;2011
"421550";"Santa Cecília";273;2011
"421555";"Santa Helena";19;2011
"421560";"Santa Rosa de Lima";21;2011
"421565";"Santa Rosa do Sul";95;2011
"421567";"Santa Terezinha";111;2011
"421568";"Santa Terezinha do Progresso";25;2011
"421569";"Santiago do Sul";14;2011
"421570";"Santo Amaro da Imperatriz";211;2011
"421580";"São Bento do Sul";1204;2011
"421575";"São Bernardino";23;2011
"421590";"São Bonifácio";29;2011
"421600";"São Carlos";134;2011
"421605";"São Cristovão do Sul";81;2011
"421610";"São Domingos";110;2011
"421620";"São Francisco do Sul";636;2011
"421630";"São João Batista";401;2011
"421635";"São João do Itaperiú";46;2011
"421625";"São João do Oeste";47;2011
"421640";"São João do Sul";83;2011
